id,skill,payrate,marketrate,location,role,companyrate,billrate
1,"[""User Experience Design"", ""Front-End Development"", ""Interaction Design"", ""Prototyping"", ""HTML/CSS"", ""JavaScript"", ""Usability Testing"", ""Responsive Design"", ""Visual Design"", ""Information Architecture"", ""Accessibility (a11y)"", ""User Research"", ""Wireframing"", ""Design Systems"", ""Performance Optimization""]",17,17,IND,UX Engineer,27,38
2,"[""Information Architecture"", ""User Experience Design"", ""User Research"", ""Wireframing"", ""Prototyping"", ""Interaction Design"", ""Usability Testing"", ""Heuristic Evaluation"", ""Personas and Scenarios"", ""User Flows and Journey Mapping"", ""Visual Design"", ""Content Strategy"", ""Accessibility (a11y)"", ""User-Centered Design"", ""Design Thinking""]",22,22,IND,UX Architect,35,50
3,"[""User Experience Design"", ""User Research"", ""Usability Testing"", ""Interaction Design"", ""Prototyping"", ""Information Architecture"", ""Heuristic Evaluation"", ""Personas and Scenarios"", ""User Flows and Journey Mapping"", ""Accessibility (a11y)"", ""Design Thinking"", ""Visual Design"", ""Content Strategy"", ""Stakeholder Management"", ""User-Centered Design""]",31,31,IND,UX SME,49,70
4,"[""JavaScript"", ""React.js"", ""Node.js"", ""HTML"", ""CSS"", ""RESTful APIs"", ""SQL"", ""NoSQL"", ""Version Control/Git"", ""Unit Testing"", ""Integration Testing"", ""CI/CD"", ""Docker"", ""Kubernetes"", ""Microservices""]",20,20,IND,Fullstack Engineer,32,45
5,"[""Software Architecture"", ""System Design"", ""JavaScript"", ""React.js"", ""Node.js"", ""HTML"", ""CSS"", ""RESTful APIs"", ""GraphQL"", ""SQL"", ""NoSQL"", ""Microservices"", ""Cloud Services (AWS, Azure, GCP)"", ""DevOps"", ""CI/CD"", ""Docker"", ""Kubernetes"", ""Security Best Practices""]",25,25,IND,Fullstack Architect,39,55
6,"[""Deep Expertise in JavaScript"", ""React.js"", ""Node.js"", ""HTML"", ""CSS"", ""RESTful APIs"", ""GraphQL"", ""SQL"", ""NoSQL"", ""Microservices"", ""Cloud Services (AWS, Azure, GCP)"", ""Software Architecture"", ""System Design"", ""Performance Optimization"", ""Security Best Practices"", ""Mentorship"", ""Technical Leadership""]",34,34,IND,Fullstack SME,53,75
7,"[""Python"", ""SQL"", ""ETL Processes"", ""Data Warehousing"", ""Big Data Technologies (Hadoop, Spark)"", ""Cloud Platforms (AWS, Azure, GCP)"", ""Data Modeling"", ""Data Pipelines"", ""APIs"", ""Version Control/Git"", ""Airflow"", ""Docker"", ""Kubernetes"", ""NoSQL Databases"", ""Data Cleaning""]",20,20,IND,Data Engineer,32,45
8,"[""Data Architecture"", ""Data Modeling"", ""Database Design"", ""SQL"", ""NoSQL Databases"", ""Big Data Technologies (Hadoop, Spark)"", ""Cloud Platforms (AWS, Azure, GCP)"", ""ETL Processes"", ""Data Warehousing"", ""Data Governance"", ""Data Security"", ""Performance Tuning"", ""APIs"", ""Version Control/Git"", ""Data Integration"", ""Business Intelligence Tools""]",25,25,IND,Data Architect,39,55
9,"[""Expertise in Data Engineering"", ""Data Architecture"", ""Data Modeling"", ""Big Data Technologies (Hadoop, Spark)"", ""Cloud Platforms (AWS, Azure, GCP)"", ""SQL"", ""NoSQL Databases"", ""ETL Processes"", ""Data Warehousing"", ""Data Governance"", ""Data Security"", ""Performance Optimization"", ""Data Quality"", ""Data Integration"", ""Business Intelligence Tools"", ""Mentorship"", ""Technical Leadership""]",31,31,IND,Data SME,49,70
10,"[""Cloud Platforms (AWS, Azure, GCP)"", ""Infrastructure as Code (Terraform, CloudFormation)"", ""Networking"", ""Linux/Unix Administration"", ""Scripting (Python, Bash)"", ""CI/CD Pipelines"", ""Monitoring and Logging"", ""Security Best Practices"", ""Containers (Docker, Kubernetes)"", ""Serverless Computing"", ""Cost Management"", ""Load Balancing"", ""Automation"", ""Version Control/Git"", ""Troubleshooting""]",18,18,IND,Cloud Engineer,28,40
